Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Novato,56134,148,0,6,26,116,890,102,711,77,3,2079
2019,Oakdale,23808,40,1,5,9,25,531,99,342,90,0,1142
2019,Oakland,434036,5520,78,372,2859,2211,27868,2599,20228,5041,207,66983
2019,Oakley,43014,51,0,7,17,27,497,74,336,87,3,1099
2019,Oceanside,177129,712,4,97,163,448,3736,426,2858,452,23,8919
2019,Ojai,7499,8,0,5,0,3,74,15,56,3,1,165
2019,Ontario,183322,659,10,85,223,341,4290,710,2652,928,31,9929
2019,Orange,139830,180,3,18,76,83,2184,387,1546,251,7,4735
2019,Orange Cove,9635,18,0,0,2,16,61,12,38,11,0,158
2019,Orinda,20071,17,5,2,7,3,195,52,125,18,0,424
2019,Orland,7679,33,0,4,8,21,134,23,86,25,0,334
2019,Oroville,19268,122,2,24,30,66,822,176,435,211,19,1907
2019,Oxnard,211349,724,13,62,275,374,4242,670,2987,585,48,9980
2019,Pacifica,38938,79,1,22,14,42,533,81,408,44,2,1226
2019,Pacific Grove,15605,14,0,1,1,12,169,27,136,6,0,366
2019,Palmdale,157138,658,8,55,194,401,2230,447,1384,399,17,5793
2019,Palm Desert,53776,136,3,7,24,102,1848,338,1382,128,6,3974
2019,Palm Springs,48846,267,7,38,66,156,1966,502,1210,254,4,4470
2019,Palo Alto,66938,86,1,10,46,29,1983,179,1722,82,8,4146
2019,Palos Verdes Estates,13400,4,0,0,1,3,88,36,49,3,0,184
2019,Paradise,26879,22,0,5,1,16,202,83,51,68,1,449
2019,Paramount,54422,347,4,16,151,176,1246,187,775,284,6,3192
2019,Parlier,15384,62,0,2,9,51,179,24,106,49,7,489
2019,Pasadena,141913,613,4,46,147,416,2866,570,2036,260,34,6992
2019,Paso Robles,32528,53,0,9,13,31,646,78,523,45,3,1401
2019,Patterson,22584,46,0,6,14,26,434,81,249,104,3,963
2019,Perris,80500,262,4,6,97,155,2071,268,1248,555,5,4671
2019,Petaluma,62425,190,3,22,28,137,789,109,626,54,9,1967
2019,Pico Rivera,62880,234,3,16,67,148,1052,198,581,273,11,2583
2019,Piedmont,11307,14,0,3,5,6,227,46,162,19,1,483
2019,Pinole,19439,59,0,2,17,40,866,77,726,63,0,1850
2019,Pismo Beach,8285,29,0,0,6,23,341,89,236,16,1,741
2019,Pittsburg,73637,446,7,41,157,241,1660,256,983,421,19,4231
2019,Placentia,51756,192,0,13,28,151,889,275,511,103,0,2162
2019,Placerville,11123,39,0,2,6,31,281,67,164,50,0,640
2019,Pleasant Hill,35125,88,0,11,41,36,1484,112,1276,96,6,3150
2019,Pleasanton,84017,112,0,12,56,44,1632,149,1386,97,4,3492
2019,Pomona,152776,940,12,101,342,485,4208,816,2529,863,15,10311
2019,Porterville,60209,192,2,7,47,136,1297,213,835,249,3,2981
2019,Port Hueneme,22232,43,0,5,14,24,415,63,305,47,3,919
2019,Poway,49928,51,2,2,12,35,490,91,354,45,1,1083
2019,Rancho Cordova,75869,225,5,12,56,152,1422,233,1004,185,4,3298
2019,Rancho Cucamonga,179247,500,4,39,108,349,3456,590,2560,306,13,7925
2019,Rancho Mirage,18481,45,0,1,7,37,628,120,459,49,0,1346
2019,Rancho Palos Verdes,41961,29,2,3,2,22,313,102,199,12,1,685
2019,Rancho Santa Margarita,48377,30,0,4,12,14,296,34,250,12,0,652
2019,Red Bluff,14308,133,1,26,14,92,787,205,467,115,21,1861
2019,Redlands,71941,257,1,40,70,146,2108,330,1534,244,20,4750
2019,Redondo Beach,67473,160,1,5,53,101,1370,260,992,118,1,3061
2019,Redwood City,87427,189,0,32,70,87,1343,165,1014,164,13,3077
2019,Reedley,25740,117,1,7,12,97,235,69,117,49,5,709
2019,Rialto,103965,595,8,65,185,337,3149,403,2179,567,16,7504
2019,Richmond,110988,1034,16,36,307,675,4188,469,2480,1239,36,10480
2019,Ridgecrest,29101,142,3,31,7,101,401,119,243,39,4,1090
2019,Rio Dell,3392,11,1,1,1,8,61,21,36,4,1,145
2019,Rio Vista,9502,11,0,2,3,6,140,31,87,22,0,302
2019,Ripon,16103,13,0,6,4,3,248,23,206,19,0,522
2019,Riverbank,25045,24,1,3,7,13,375,49,273,53,3,801
2019,Riverside,333260,1686,17,139,476,1054,9790,1302,6997,1491,75,23027
2019,Rocklin,68554,67,0,22,13,32,983,168,738,77,6,2106
2019,Rohnert Park,44131,267,0,28,28,211,786,93,615,78,8,2114
